gender,height,eyes,handedness,state,siblings,tv,bmonth,bdate
M,66,BROWN,R,NY,3,5,.,.
F,59,BLUE,R,NY,0,3,Apr,1
M,75,BROWN,R,NJ,3,1.5,Apr,5
F,66,BROWN,R,NY,3,5,Apr,10
M,68,BROWN,R,NY,2,6,Apr,20
F,67,BROWN,R,NY,1,6,Aug,15
M,74,BLACK,AMBI,NY,0,5,Aug,21
F,63,BLUE,R,NY,1,0,Dec,9
M,70,BROWN,L,NY,1,10,Dec,9
F,61,HAZEL,R,NY,1,5,Dec,11
M,71,BROWN,R,CT,1,0,Dec,12
F,64,BROWN,R,NY,0,0,Dec,17
F,66,BROWN,R,NY,0,20,Dec,20
M,69,BLUE,L,NY,1,15,Feb,1
M,68,BROWN,R,NY,1,1,Feb,15
F,62,BROWN,R,NY,2,15,Jan,2
M,68.5,BROWN,R,NY,2,1,Jan,2
M,70,BLUE,R,NY,1,2,Jan,6
M,74,BLUE-GREEN,R,NY,1,18,Jan,8
M,70,BROWN,L,NY,5,25,Jan,10
M,71,BROWN,R,NY,1,2,Jan,23
F,63,BROWN,R,NY,2,8,Jul,9
F,66,BROWN,R,NY,5,7,Jun,13
M,74,BROWN,R,NY,2,2,Jun,30
M,76,BROWN,R,NY,7,2,Mar,17
M,76,GREEN,R,NY,2,5,Mar,26
F,68,GREEN,R,NY,4,18,Mar,27
F,66,BROWN,R,NY,1,2,Mar,29
F,65,HAZEL,R,NY,0,10,Mar,30
M,65,BLUE,R,NY,2,1.5,May,13
F,65,BROWN,R,NY,2,5,May,16
M,66,BROWN,R,NY,1,8,May,25
F,64,BROWN,R,NY,4,4,Nov,1
M,74,BROWN,R,NY,2,10,Nov,4
M,66,GREEN,L,NY,4,3,Nov,10
M,75,BROWN,L,NY,2,0,Nov,22
M,65,BROWN,R,NY,3,3,Oct,4
M,69,BROWN,R,NY,2,5,Oct,24
M,76,BLUE,R,NY,1,21,Sep,12
M,68,BROWN,R,NY,2,2,Sep,13
F,66,BROWN,R,NY,1,5,Sep,20
M,73,BROWN,R,CT,1,5,Sep,29
